lambda_um,T_H2O,A_H2O_dbm
4.015,0.9999998297250283,7.394948690190364e-07
4.0249999999999995,0.999998976767074,4.443846407942535e-06
4.034999999999999,0.9999996777422284,1.3995479449791804e-06
4.044999999999999,0.9999994933947122,2.200159367386723e-06
4.054999999999999,0.9999993995920551,2.6075393564784576e-06
4.064999999999999,0.9999997488816935,1.0905930850358642e-06
4.074999999999998,0.9999997574994449,1.0531666569983608e-06
4.084999999999998,0.9999997557374333,1.0608189782172444e-06
4.094999999999998,0.9999997551034506,1.0635723305304708e-06
4.104999999999998,0.9999991870981665,3.530389241169443e-06
4.1149999999999975,0.9999995061407324,2.1448040771348303e-06
4.124999999999997,0.9999994128939946,2.549769732726245e-06
4.134999999999997,0.999999773826559,9.82258884769322e-07
4.144999999999997,0.9999998963537885,4.5012980058326947e-07
4.154999999999997,0.9999991329013603,3.7657631773783973e-06
4.1649999999999965,0.9999998336227832,7.225671317355214e-07
4.174999999999996,0.9999992840129127,3.1094935243984577e-06
4.184999999999996,0.9999996297404836,1.6080169460524423e-06
4.194999999999996,0.9999995022341774,2.1617700382070565e-06
4.204999999999996,0.9999992540665621,3.2395489677443034e-06
4.214999999999995,0.9999989055635129,4.753079872398792e-06
4.224999999999995,0.9999991190315444,3.8259990754014695e-06
4.234999999999995,0.9999994525279308,2.377641637492997e-06
4.244999999999995,0.9999974179284834,1.121380859281992e-05
4.254999999999995,0.9999984719332607,6.636314598744662e-06
4.264999999999994,0.9999993255622777,2.929046799712038e-06
4.274999999999994,0.999995818869348,1.8158457664429417e-05
4.284999999999994,0.9999949854096251,2.1778143892701398e-05
4.294999999999994,0.9999970026629875,1.3017288757846453e-05
4.3049999999999935,0.9999911572668494,3.840367191946736e-05
4.314999999999993,0.9999934320117834,2.8524504071296663e-05
4.324999999999993,0.999995089477217,2.132618184035922e-05
4.334999999999993,0.9999872282201301,5.546748942590065e-05
4.344999999999993,0.9999926474638993,3.1931775955349884e-05
4.354999999999992,0.9999847126766845,6.639250907292299e-05
4.364999999999992,0.9999655688212503,0.0001495352837169337
4.374999999999992,0.9999963138833892,1.6008630542232498e-05
4.384999999999992,0.9999875269564342,5.4170077765121455e-05
4.394999999999992,0.999951578783785,0.00021029576152135294
4.404999999999991,0.9999837540918276,7.055565584969206e-05
4.414999999999991,0.9999895438247492,4.541082954435213e-05
4.424999999999991,0.9999649373549033,0.00015227780251104525
4.434999999999991,0.9999145838572739,0.00037097343829951146
4.4449999999999905,0.9999742695882968,0.00011174719585471278
4.45499999999999,0.9999381750088487,0.000268510825432331
4.46499999999999,0.9999812758115084,8.131887871748323e-05
4.47499999999999,0.9999742733805574,0.00011173072585236659
4.48499999999999,0.9999496166782216,0.0002188174987057704
4.4949999999999894,0.9999823941565049,7.64618798815893e-05
4.504999999999989,0.9999617589007309,0.00016608215954720622
4.514999999999989,0.9999639019231371,0.0001567747855398766
4.524999999999989,0.999901952309527,0.0004258365858456276
4.534999999999989,0.999852571527066,0.000640320924634651
4.544999999999988,0.9999400329957779,0.00026044119931640033
4.554999999999988,0.9999729477379397,0.00011748807052428803
4.564999999999988,0.999982254375486,7.70689518637362e-05
4.574999999999988,0.9998239904860015,0.0007644668856166371
4.5849999999999875,0.9999114078172731,0.00038476800495112877
4.594999999999987,0.9999890550112335,4.753374238656522e-05
4.604999999999987,0.999931913136305,0.0002957075589426211
4.614999999999987,0.999981646596068,7.970855198182305e-05
4.624999999999987,0.9994930618250771,0.0022021627477055964
4.6349999999999865,0.999938826025373,0.0002656833227013025
4.644999999999986,0.9997830514229701,0.0009422979174010249
4.654999999999986,0.9998418194637366,0.0006870236787563942
4.664999999999986,0.9997143684191693,0.0012406593883082231
4.674999999999986,0.9993044754130328,0.003021675848256896
4.684999999999985,0.9988962021429733,0.004796380789101119
4.694999999999985,0.9999789460408164,9.143714551694323e-05
4.704999999999985,0.9998081198561145,0.0008334048362399285
4.714999999999985,0.9998903822358257,0.0004760899954318181
4.7249999999999845,0.9985473227326347,0.006313484050480315
4.734999999999984,0.9999488496372022,0.00022214888465076164
4.744999999999984,0.999774357001579,0.0009800656675800982
4.754999999999984,0.9999701022322696,0.00012984629653241302
4.764999999999984,0.9995415446679901,0.001991502751327331
4.7749999999999835,0.9999002661568027,0.0004331601783195487
4.784999999999983,0.9961239273600149,0.016866278207285937
4.794999999999983,0.9992643390658172,0.003196110613730393
4.804999999999983,0.9997764929960767,0.0009707870776033821
4.814999999999983,0.9995724125989143,0.0018573856138775864
4.824999999999982,0.9990788563979175,0.004002319472866744
4.834999999999982,0.9997718101185984,0.0009911291503116072
4.844999999999982,0.98929438339815,0.04674456571144722
4.854999999999982,0.9983059834358837,0.00736325896415987
4.864999999999982,0.9999559574443482,0.00019127860111517879
4.874999999999981,0.9999419866608786,0.0002519560390481456
4.884999999999981,0.9994337947500748,0.002459694568391792
4.894999999999981,0.9896488894699448,0.045188583440106705
4.904999999999981,0.9992307630452257,0.0033420392222431768
4.9149999999999805,0.9997683965084577,0.0010059576798160303
4.92499999999998,0.9999318325958729,0.00029605736542625156
4.93499999999998,0.9986690893565926,0.005783921278911532
4.94499999999998,0.998230503027216,0.007691634881294863
4.95499999999998,0.9736510043206263,0.11596683838377413
4.964999999999979,0.9994505424796927,0.0023869195066019305
4.974999999999979,0.9988220264250285,0.0051188897851022295
4.984999999999979,0.9983182288841257,0.007309987741992283
4.994999999999979,0.9998659564785575,0.0005821826367508431
5.004999999999979,0.9970365887292172,0.012889038833005049
5.014999999999978,0.9842808495747829,0.06880964558930212
5.024999999999978,0.9545970207393081,0.20179925384082115
5.034999999999978,0.998699580078921,0.005651327305048458
5.044999999999978,0.9997340041295649,0.001155359054571829
5.0549999999999775,0.9997596882448778,0.001043786113920789
5.064999999999977,0.9994519049894954,0.002380998952653666
5.074999999999977,0.9993046828688836,0.0030207742519554755
5.084999999999977,0.9587675498402095,0.18286673390807295
5.094999999999977,0.9962502222925443,0.01631568692027369
5.1049999999999764,0.9991316709179588,0.003772743516678773
5.114999999999976,0.9926086616084533,0.032219394224520546
5.124999999999976,0.9994105769335662,0.002560586561133464
5.134999999999976,0.9877943416912224,0.053334659040891394
5.144999999999976,0.9143062111399437,0.3890832993718801
5.154999999999975,0.9943911728668151,0.024427395476750734
5.164999999999975,0.9993513804137232,0.0028178330214105223
5.174999999999975,0.9962427297762972,0.016348349103176993
5.184999999999975,0.9993872171577255,0.0026620977973030435
5.1949999999999745,0.9641130631844703,0.15872032655437285
5.204999999999974,0.962261236735608,0.16707008761533737
5.214999999999974,0.8955424182627051,0.4791383853507339
5.224999999999974,0.9975998779581711,0.010436126591209672
5.234999999999974,0.9624681082992778,0.16613652073080704
5.2449999999999735,0.9800547785201467,0.0874964946652271
5.254999999999973,0.9932635708588514,0.029354925108569428
5.264999999999973,0.9992978094837411,0.0030506458572478108
5.274999999999973,0.9603127444046581,0.17587307533277624
5.284999999999973,0.9939206967078081,0.026482658603865998
5.294999999999972,0.9088344136286008,0.4151523646796337
5.304999999999972,0.9868672136464591,0.05741279204912026
5.314999999999972,0.9992472467690041,0.0032703967999280414
5.324999999999972,0.9962768705448636,0.016199520982285658
