lambda_um,T_H2O,T_CO2,T_O3,T_N2O,T_CH4,T_O2
4.03,0.9999993261219705,0.999999767667263,0.9999999998273805,0.9999950792190261,0.999999603524728,1.0
4.05,0.9999994467071249,0.9999999152810721,0.9999999998047603,0.9999951896396474,0.9999995746229409,1.0
4.069999999999999,0.9999997530973005,0.999999729908322,0.9999999998484618,0.9999969297202691,0.9999996753459927,1.0
4.089999999999999,0.9999997554295667,0.999998901729195,0.999999999889672,0.9999949370320845,0.9999997387092533,1.0
4.1099999999999985,0.9999993463550794,0.9999993445541036,0.9999999998182674,0.9999977431673083,0.9999996513383291,1.0
4.129999999999998,0.9999995929053247,0.9999991571558026,0.9999999991875471,0.9999994981106679,0.9999999208910304,1.0
4.149999999999998,0.9999995156785191,0.9999992194591975,0.9999999995660237,0.999999925747409,0.9999997355410455,1.0
4.169999999999997,0.9999995592496399,0.9999003357642303,0.9999999994204134,0.9999999644864127,0.9999999767035039,1.0
4.189999999999997,0.9999995666391256,0.9803018060045676,0.999999999537157,0.9999999818410978,0.9999998443193193,1.0
4.209999999999996,0.9999990803141664,0.6827070861890558,0.9999999997449904,0.9999999904745265,0.999999989476141,1.0
4.229999999999996,0.9999992853011513,0.394700941919482,0.999999999797155,0.9999999658010589,0.9999998671611279,1.0
4.249999999999996,0.9999979439850969,0.5347872630410376,0.999999998018592,0.9999998444566397,0.9999999746671073,1.0
4.269999999999995,0.9999975735911742,0.5201294075294882,0.9999999992547018,0.9999996014046136,0.9999999508127085,1.0
4.289999999999995,0.9999959924532402,0.5252064009885324,0.999999999093387,0.9999995574971997,0.9999999873544476,1.0
4.309999999999994,0.9999922910398756,0.6458753260577985,0.9999999992332955,0.999999716681174,0.9999999659172558,1.0
4.329999999999994,0.9999911795792462,0.8356208333478419,0.9999999994593625,0.999999509388192,0.9999999873668838,1.0
4.349999999999993,0.9999886733403996,0.9360294725172336,0.9999999994888796,0.9999996497315312,0.9999999785207538,1.0
4.369999999999993,0.9999808984031041,0.9780709917678311,0.9999999992085656,0.9999998623281613,0.99999998746335,1.0
4.389999999999993,0.9999695875569812,0.986779132206592,0.999999998555285,0.999999947795915,0.9999999757881772,1.0
4.409999999999992,0.9999866433503405,0.9833233244310929,0.9999999969824769,0.9999993037423837,0.9999999859032113,1.0
4.429999999999992,0.9999398100749487,0.9909561638942922,0.9999999955458271,0.9999362493882199,0.9999999806716887,1.0
4.449999999999991,0.9999562835246741,0.9964293614438923,0.9999999946597801,0.9994390376667681,0.9999999796814834,1.0
4.469999999999991,0.9999777849713226,0.9990392799422805,0.9999999881264608,0.9988893801412678,0.9999999891863627,1.0
4.48999999999999,0.999965970535473,0.9998161671010765,0.9999999849563479,0.9994506617232275,0.9999999875966048,1.0
4.50999999999999,0.999962829429786,0.9999656916564111,0.9999999863247503,0.9993233110326344,0.9999999970381983,1.0
4.52999999999999,0.9998773132004413,0.999993434614498,0.9999999866786,0.9991704787127995,0.9999999980168336,1.0
4.549999999999989,0.9999564560377763,0.9999983730515007,0.9999999855457533,0.9994875957938105,0.999999937188586,1.0
4.569999999999989,0.9999032875870977,0.9999995255653652,0.9999999780079541,0.9997605833939218,0.9999999962689257,1.0
4.589999999999988,0.9999501087610906,0.9999997808832994,0.9999999705827571,0.9999182147595261,0.9999999965244841,1.0
4.609999999999988,0.9999567007946373,0.9999995174955751,0.999999975735074,0.9999730327869367,0.9999999946472863,1.0
4.6299999999999875,0.9997152366401002,0.9999995597070647,0.9999999829704206,0.9999909550761973,0.9999999933939484,1.0
4.649999999999987,0.9998123342769076,0.9999995115071726,0.9999999853317075,0.9999968332714365,0.9999999927601279,1.0
4.669999999999987,0.9995101220513142,0.9999993161958269,0.9999999849107117,0.9999989364279976,0.9999999916465133,1.0
4.689999999999986,0.9994364590209531,0.9999901107813727,0.9999991827227376,0.9999996778200974,0.9999999913982821,1.0
4.709999999999986,0.9998492077071487,0.999995910326109,0.9999973396976459,0.9999999116094068,0.9999999922717931,1.0
4.729999999999985,0.9992465151832072,0.9999912167461796,0.999998918969005,0.999999977877972,0.9999999961453051,1.0
4.749999999999985,0.9998720088747713,0.9999914001397772,0.999998457944314,0.9999999945094464,0.9999999972967285,1.0
